timepoint,genotype,count,fitness
11,01010011,1,1.38
11,01010101,1,1.4
11,01011000,4,1.25
11,01011100,1,1.2000000000000002
11,01100001,1,1.2
11,01100011,1,1.38
11,01100101,1,1.45
11,01101001,1,1.3800000000000001
11,01101101,2,1.5699999999999998
11,01101111,1,1.57
11,10000101,1,1.4
11,10001000,1,1.6
11,10001001,2,1.98
11,10001010,2,1.78
11,10001011,1,2.16
11,10001100,2,1.55
11,10001101,8,1.93
11,10001111,4,2.0500000000000003
11,10010000,1,1.5
11,10010011,1,1.53
11,10010100,1,1.45
11,10011011,3,2.0000000000000004
11,10101000,2,1.5
11,10101001,2,1.8800000000000001
11,10101101,1,2.07
11,11000000,7,1.9500000000000002
11,11000001,8,2.05
11,11000010,4,2.13
11,11000011,9,2.23
11,11000100,2,1.9
11,11000101,3,2.0
11,11000110,3,2.08
11,11000111,1,2.12
11,11001000,55,2.4000000000000004
11,11001001,46,2.7799999999999994
11,11001010,21,2.58
11,11001011,17,2.9
11,11001100,7,2.3499999999999996
11,11001101,26,2.6699999999999995
11,11001110,23,2.47
11,11001111,3,2.67
11,11010000,10,2.1
11,11010001,2,2.2
11,11010010,2,2.0300000000000002
11,11010011,1,2.07
11,11010101,1,2.09
11,11011000,8,2.55
11,11011001,9,2.8699999999999997
11,11011010,10,2.4199999999999995
11,11011011,10,2.619999999999999
11,11011100,8,2.44
11,11011101,12,2.6399999999999997
11,11011111,1,2.2699999999999996
11,11100000,2,1.85
11,11100001,3,1.9500000000000002
11,11100010,3,2.0300000000000002
11,11100011,4,2.07
11,11100100,6,2.1
11,11100101,4,2.1399999999999997
11,11100110,1,2.2199999999999998
11,11101000,6,2.3
11,11101001,21,2.6199999999999997
11,11101010,4,2.4200000000000004
11,11101011,14,2.619999999999999
11,11101100,8,2.4899999999999998
11,11101101,13,2.6899999999999995
11,11101110,3,2.4899999999999993
11,11101111,7,2.5699999999999994
11,11110000,2,2.0
11,11110011,1,1.7900000000000003
11,11110100,1,2.19
11,11110101,1,2.1100000000000003
11,11111000,5,2.39
11,11111001,5,2.59
11,11111011,2,2.2199999999999998
11,11111100,5,2.46
11,11111101,1,2.54
11,11111110,1,2.09
12,00000001,1,1.1
